                               Labor Force Data by County, 2009 Annual Averages

                 State  County                                                                                              
                 FIPS   FIPS                                                                  Labor                     Unemployed    
   LAUS Code     Code   Code   County Name/State Abbreviation                    Year         Force     Employed      Level     Rate
CN0606700000000   06     067   Sacramento County, CA                             2009       681,094      606,070     75,024     11.0
CN0606900000000   06     069   San Benito County, CA                             2009        24,864       21,392      3,472     14.0
CN0607100000000   06     071   San Bernardino County, CA                         2009       857,696      749,142    108,554     12.7
CN0607300000000   06     073   San Diego County, CA                              2009     1,554,333    1,408,347    145,986      9.4
CN0607500000000   06     075   San Francisco County/city, CA                     2009       459,432      419,546     39,886      8.7
CN0607700000000   06     077   San Joaquin County, CA                            2009       297,806      253,310     44,496     14.9
CN0607900000000   06     079   San Luis Obispo County, CA                        2009       136,378      124,372     12,006      8.8
CN0608100000000   06     081   San Mateo County, CA                              2009       374,199      343,493     30,706      8.2
CN0608300000000   06     083   Santa Barbara County, CA                          2009       219,990      201,872     18,118      8.2
CN0608500000000   06     085   Santa Clara County, CA                            2009       874,982      782,384     92,598     10.6
CN0608700000000   06     087   Santa Cruz County, CA                             2009       147,664      131,302     16,362     11.1
CN0608900000000   06     089   Shasta County, CA                                 2009        83,960       71,919     12,041     14.3
CN0609100000000   06     091   Sierra County, CA                                 2009         1,595        1,357        238     14.9
CN0609300000000   06     093   Siskiyou County, CA                               2009        19,631       16,835      2,796     14.2
CN0609500000000   06     095   Solano County, CA                                 2009       214,520      192,225     22,295     10.4
CN0609700000000   06     097   Sonoma County, CA                                 2009       256,523      232,398     24,125      9.4
CN0609900000000   06     099   Stanislaus County, CA                             2009       234,462      198,102     36,360     15.5
CN0610100000000   06     101   Sutter County, CA                                 2009        41,882       34,991      6,891     16.5
CN0610300000000   06     103   Tehama County, CA                                 2009        25,344       21,887      3,457     13.6
CN0610500000000   06     105   Trinity County, CA                                2009         4,985        4,148        837     16.8
CN0610700000000   06     107   Tulare County, CA                                 2009       203,168      172,996     30,172     14.9
CN0610900000000   06     109   Tuolumne County, CA                               2009        25,724       22,594      3,130     12.2
CN0611100000000   06     111   Ventura County, CA                                2009       430,294      388,824     41,470      9.6
CN0611300000000   06     113   Yolo County, CA                                   2009        98,742       87,862     10,880     11.0
CN0611500000000   06     115   Yuba County, CA                                   2009        28,348       23,574      4,774     16.8
CN0800100000000   08     001   Adams County, CO                                  2009       228,327      209,001     19,326      8.5
CN0800300000000   08     003   Alamosa County, CO                                2009         8,936        8,373        563      6.3
CN0800500000000   08     005   Arapahoe County, CO                               2009       312,497      289,832     22,665      7.3
CN0800700000000   08     007   Archuleta County, CO                              2009         6,334        5,862        472      7.5
CN0800900000000   08     009   Baca County, CO                                   2009         2,593        2,498         95      3.7
CN0801100000000   08     011   Bent County, CO                                   2009         2,680        2,506        174      6.5
CN0801300000000   08     013   Boulder County, CO                                2009       175,518      164,765     10,753      6.1
CN0801400000000   08     014   Broomfield County/city, CO                        2009        30,845       28,722      2,123      6.9
CN0801500000000   08     015   Chaffee County, CO                                2009         8,576        8,038        538      6.3
CN0801700000000   08     017   Cheyenne County, CO                               2009         1,372        1,337         35      2.6
CN0801900000000   08     019   Clear Creek County, CO                            2009         5,426        5,036        390      7.2
CN0802100000000   08     021   Conejos County, CO                                2009         3,738        3,461        277      7.4
CN0802300000000   08     023   Costilla County, CO                               2009         1,379        1,254        125      9.1
CN0802500000000   08     025   Crowley County, CO                                2009         1,987        1,816        171      8.6
CN0802700000000   08     027   Custer County, CO                                 2009         2,039        1,912        127      6.2
CN0802900000000   08     029   Delta County, CO                                  2009        16,973       15,760      1,213      7.1
CN0803100000000   08     031   Denver County/city, CO                            2009       324,332      298,039     26,293      8.1
CN0803300000000   08     033   Dolores County, CO                                2009         1,044          907        137     13.1
CN0803500000000   08     035   Douglas County, CO                                2009       161,345      151,397      9,948      6.2
CN0803700000000   08     037   Eagle County, CO                                  2009        30,521       28,382      2,139      7.0
CN0803900000000   08     039   Elbert County, CO                                 2009        12,933       12,029        904      7.0
CN0804100000000   08     041   El Paso County, CO                                2009       300,226      276,585     23,641      7.9
CN0804300000000   08     043   Fremont County, CO                                2009        19,981       18,279      1,702      8.5
CN0804500000000   08     045   Garfield County, CO                               2009        34,688       32,275      2,413      7.0
CN0804700000000   08     047   Gilpin County, CO                                 2009         3,675        3,453        222      6.0
CN0804900000000   08     049   Grand County, CO                                  2009         9,052        8,448        604      6.7
CN0805100000000   08     051   Gunnison County, CO                               2009         9,427        8,915        512      5.4
CN0805300000000   08     053   Hinsdale County, CO                               2009           665          644         21      3.2
CN0805500000000   08     055   Huerfano County, CO                               2009         3,489        3,185        304      8.7
CN0805700000000   08     057   Jackson County, CO                                2009         1,293        1,240         53      4.1
CN0805900000000   08     059   Jefferson County, CO                              2009       303,936      282,267     21,669      7.1
CN0806100000000   08     061   Kiowa County, CO                                  2009         1,001          959         42      4.2
CN0806300000000   08     063   Kit Carson County, CO                             2009         4,860        4,670        190      3.9
CN0806500000000   08     065   Lake County, CO                                   2009         3,904        3,570        334      8.6
CN0806700000000   08     067   La Plata County, CO                               2009        31,317       29,632      1,685      5.4
CN0806900000000   08     069   Larimer County, CO                                2009       176,900      165,822     11,078      6.3
CN0807100000000   08     071   Las Animas County, CO                             2009         8,618        7,917        701      8.1
CN0807300000000   08     073   Lincoln County, CO                                2009         3,108        2,980        128      4.1
CN0807500000000   08     075   Logan County, CO                                  2009        12,031       11,434        597      5.0
CN0807700000000   08     077   Mesa County, CO                                   2009        82,067       75,199      6,868      8.4
CN0807900000000   08     079   Mineral County, CO                                2009           479          447         32      6.7
CN0808100000000   08     081   Moffat County, CO                                 2009         9,077        8,513        564      6.2
CN0808300000000   08     083   Montezuma County, CO                              2009        13,270       12,297        973      7.3
CN0808500000000   08     085   Montrose County, CO                               2009        21,101       19,391      1,710      8.1
CN0808700000000   08     087   Morgan County, CO                                 2009        15,084       14,272        812      5.4
CN0808900000000   08     089   Otero County, CO                                  2009         9,306        8,670        636      6.8
CN0809100000000   08     091   Ouray County, CO                                  2009         2,902        2,739        163      5.6
CN0809300000000   08     093   Park County, CO                                   2009         9,336        8,687        649      7.0
CN0809500000000   08     095   Phillips County, CO                               2009         2,607        2,514         93      3.6
CN0809700000000   08     097   Pitkin County, CO                                 2009        11,141       10,471        670      6.0
CN0809900000000   08     099   Prowers County, CO                                2009         7,008        6,601        407      5.8
CN0810100000000   08     101   Pueblo County, CO                                 2009        74,643       68,533      6,110      8.2
CN0810300000000   08     103   Rio Blanco County, CO                             2009         4,659        4,432        227      4.9
CN0810500000000   08     105   Rio Grande County, CO                             2009         6,788        6,375        413      6.1
CN0810700000000   08     107   Routt County, CO                                  2009        15,238       14,246        992      6.5
CN0810900000000   08     109   Saguache County, CO                               2009         3,422        3,147        275      8.0
CN0811100000000   08     111   San Juan County, CO                               2009           556          515         41      7.4
CN0811300000000   08     113   San Miguel County, CO                             2009         5,220        4,911        309      5.9
CN0811500000000   08     115   Sedgwick County, CO                               2009         1,719        1,655         64      3.7
CN0811700000000   08     117   Summit County, CO                                 2009        16,641       15,631      1,010      6.1
CN0811900000000   08     119   Teller County, CO                                 2009        12,099       11,186        913      7.5
CN0812100000000   08     121   Washington County, CO                             2009         2,984        2,865        119      4.0
CN0812300000000   08     123   Weld County, CO                                   2009       120,964      111,070      9,894      8.2
CN0812500000000   08     125   Yuma County, CO                                   2009         7,112        6,877        235      3.3
CN0900100000000   09     001   Fairfield County, CT                              2009       471,953      436,665     35,288      7.5
CN0900300000000   09     003   Hartford County, CT                               2009       464,754      425,976     38,778      8.3
CN0900500000000   09     005   Litchfield County, CT                             2009       105,724       97,384      8,340      7.9
CN0900700000000   09     007   Middlesex County, CT                              2009        95,148       88,811      6,337      6.7
CN0900900000000   09     009   New Haven County, CT                              2009       450,853      412,211     38,642      8.6
CN0901100000000   09     011   New London County, CT                             2009       150,961      139,704     11,257      7.5
CN0901300000000   09     013   Tolland County, CT                                2009        86,559       80,813      5,746      6.6
CN0901500000000   09     015   Windham County, CT                                2009        65,133       59,411      5,722      8.8
CN1000100000000   10     001   Kent County, DE                                   2009        73,786       67,788      5,998      8.1
CN1000300000000   10     003   New Castle County, DE                             2009       271,289      248,704     22,585      8.3
CN1000500000000   10     005   Sussex County, DE                                 2009        92,424       84,819      7,605      8.2
CN1100100000000   11     001   District of Columbia                              2009       335,672      304,500     31,172      9.3
CN1200100000000   12     001   Alachua County, FL                                2009       129,815      120,579      9,236      7.1
CN1200300000000   12     003   Baker County, FL                                  2009        12,111       10,887      1,224     10.1
CN1200500000000   12     005   Bay County, FL                                    2009        88,810       80,695      8,115      9.1
CN1200700000000   12     007   Bradford County, FL                               2009        12,473       11,467      1,006      8.1
CN1200900000000   12     009   Brevard County, FL                                2009       266,755      238,983     27,772     10.4
CN1201100000000   12     011   Broward County, FL                                2009       980,551      891,041     89,510      9.1
CN1201300000000   12     013   Calhoun County, FL                                2009         5,917        5,413        504      8.5
CN1201500000000   12     015   Charlotte County, FL                              2009        68,858       60,681      8,177     11.9
CN1201700000000   12     017   Citrus County, FL                                 2009        56,762       49,892      6,870     12.1
CN1201900000000   12     019   Clay County, FL                                   2009        94,785       85,993      8,792      9.3
CN1202100000000   12     021   Collier County, FL                                2009       143,337      127,434     15,903     11.1
CN1202300000000   12     023   Columbia County, FL                               2009        31,597       28,674      2,923      9.3
CN1202700000000   12     027   DeSoto County, FL                                 2009        14,967       13,458      1,509     10.1
CN1202900000000   12     029   Dixie County, FL                                  2009         5,582        4,944        638     11.4
CN1203100000000   12     031   Duval County, FL                                  2009       441,641      395,185     46,456     10.5
CN1203300000000   12     033   Escambia County, FL                               2009       137,044      123,507     13,537      9.9
