AQC00914000       21392R
USC00012577        5804R
USC00012675        5431R
USC00012730        5014R
USC00012758        6102S
USC00012813        6787S
USC00012840        5404R
USC00012883        5550R
USC00013043        5413R
USC00013154        5459R
USC00013160        5266S
USC00013251        5911S
USC00013271        5918R
USC00013430        5584R
USC00013511        5348S
USC00013519        5736S
USC00013573        5333R
USC00013575        5480R
USC00013620        6225R
USC00013645        5972S
USC00013655        5686R
USC00013761        5377S
USC00013775        5505S
USC00013781        5503R
USC00013816        5572R
USC00013930        5046S
USC00014080        5040R
USC00014193        6018R
USC00014209        5176R
USC00014226        5967R
USC00014274        5191S
USC00014306        4757R
USC00014431        5984R
USC00014502        5455R
USC00014603        4914R
USC00014619        5722R
USC00014798        5608R
USC00014866        5186R
USC00015112        5562R
USC00015116        1354Q
USC00015121        5367S
USC00015397        5177Q
USC00015420        5074S
USC00015439        5321R
USC00015465        5214R
USC00015537        5732R
USC00015553        5280Q
USC00015635        5716S
USC00015658        5603R
USC00015752        5726Q
USC00016000        5891R
USC00016121        5541R
USC00016129        5473R
USC00016196        5582Q
USC00016246        5625S
USC00016334        5805R
USC00016436        5612S
USC00016478        5409S
USC00016847        5672S
USC00016988        6732R
USC00017020        5658R
USC00017025        5296R
USC00017131        5662R
USC00017157        5913R
USC00017207        5365R
USC00017304        5694R
USC00017326        5060Q
USC00017366        5109S
USC00017947        5812R
USC00017999        5425S
USC00018024        5555R
USC00018038        4752S
USC00018178        5781S
USC00018209        5524R
USC00018323        5205R
USC00018380        5495S
USC00018385        5185S
USC00018438        5542S
USC00018469        5597S
USC00018517        5733R
USC00018605        5286R
USC00018608        5503Q
USC00018648        5588R
USC00018653        5619R
USC00018673        5602S
USC00018755        4997R
USC00018809        5792S
USC00018812        5853Q
USC00018859        5129S
USC00018867        5948R
USC00018998        6026S
USC00020060         888R
USC00020080         684R
USC00020100         882S
USC00020159        2194R
USC00020174        2206R
USC00020287        1141R
USC00020288        1328R
USC00020380        1869R
USC00020404         983Q
USC00020498        1031R
USC00020586        1671R
USC00020632        1481R
USC00020670        1520R
USC00020672         718R
USC00020678        2015R
USC00020683        1270R
USC00020750        1280R
USC00020775        1905R
USC00020808        2027S
USC00020871        2075Q
USC00020949         574S
USC00020958        1210S
USC00021001        2468R
USC00021026         876R
USC00021050         598S
USC00021231        1886R
USC00021248         958R
USC00021282        1307R
USC00021306         904R
USC00021314         918S
USC00021330        1390S
USC00021353        1499R
USC00021514         943R
USC00021574        1891R
USC00021614        1822R
USC00021654        1500Q
USC00021664        2070R
USC00021849        1595R
USC00021920        1400S
USC00022109        1634S
USC00022140        2195R
USC00022434         472R
USC00022527        1488Q
USC00022659        1391R
USC00022754        1181S
USC00022782        1165Q
USC00022790         441R
USC00022807        1050R
USC00023009        2316R
USC00023027         972R
USC00023110        1460Q
USC00023150        1047S
USC00023160        2096R
USC00023190        1164S
USC00023303        1104Q
USC00023393         703S
USC00023448        1755S
USC00023505        1675R
USC00023596        1594R
USC00023668        1419R
USC00023683        2190R
USC00023828        2463Q
USC00023961        1862Q
USC00024053        1533R
USC00024089         864R
USC00024182        1442S
USC00024391        2090R
USC00024453        1871R
USC00024586         970Q
USC00024590        1344R
USC00024675        2354R
USC00024702         680S
USC00024761         384P
USC00024829         850S
USC00024849         703R
USC00024977         888R
USC00025129         792R
USC00025270         792S
USC00025412        2626S
USC00025418        1180S
USC00025426         683Q
USC00025467         949R
USC00025512        1774R
USC00025635        1435S
USC00025665         523R
USC00025700        1393R
USC00025780        2356R
USC00025825        2141Q
USC00025908        1412R
USC00025924        1805S
USC00026037        2912R
USC00026119        2347S
USC00026132        1025R
USC00026180         683R
USC00026190        1083R
USC00026194         710Q
USC00026250         509R
USC00026282        1845S
USC00026328         915R
USC00026353        1333R
USC00026468        1046R
USC00026471        1006S
USC00026513        1041R
USC00026597        2098R
USC00026601        2563S
USC00026603        1264Q
USC00026616        1095R
USC00026653        2210R
USC00026716        2113R
USC00026796        1795S
USC00026840        1803R
USC00026865         498R
USC00027036        1500S
USC00027281        1648S
USC00027334        1995S
USC00027370         829R
USC00027390         967S
USC00027435        1050R
USC00027462         641R
USC00027480        1488R
USC00027488        1040R
USC00027530        1403S
USC00027560        1105R
USC00027593        2297R
USC00027619        1676R
USC00027622        1829R
USC00027625        1810Q
USC00027708        1850S
USC00027716        1279S
USC00027855        1664S
USC00027880        1420R
USC00028012        1212S
USC00028018        1121R
USC00028112         842R
USC00028162        1188R
USC00028214        1334S
USC00028329        1724R
USC00028348        1870R
USC00028349        2391R
USC00028396         410S
USC00028468         845R
USC00028499         933S
USC00028516         568R
USC00028598         946S
USC00028619        1414S
USC00028641         660P
USC00028650        3207R
USC00028792         674R
USC00028795        1216R
USC00028796        1201S
USC00028800        1415R
USC00028815        1162R
USC00028817        1130S
USC00028865        1656R
USC00028904        1271S
USC00028998        1402R
USC00029114         681R
USC00029156        1856R
USC00029158        1524S
USC00029166        1723S
USC00029271        2007R
USC00029287        1215S
USC00029309         931R
USC00029334        1332S
USC00029359        2232S
USC00029376         548R
USC00029410        1075R
USC00029464        1065Q
USC00029542         841R
USC00029562        1629R
USC00029634         914C
USC00029645         753S
USC00029652         368R
USC00029656         359P
USC00030006        4798R
USC00030064        4527R
USC00030130        5658S
USC00030150        5833S
USC00030220        5469R
USC00030234        5255S
USC00030240        5189R
USC00030286        5205S
USC00030300        6048S
USC00030326        4927S
USC00030458        4775S
USC00030460        4867S
USC00030586        4709R
USC00030616        4563R
USC00030664        6452S
USC00030746        5146S
USC00030764        5640R
USC00030798        4840S
USC00030806        4977S
USC00030814        5407R
USC00030832        4979S
USC00030936        4844S
USC00031102        5069R
USC00031132        4775R
USC00031140        4980R
USC00031152        5268S
USC00031191        5490Q
USC00031310        5197R
USC00031328        5050Q
USC00031442        5157R
USC00031455        4853R
USC00031457        5148R
USC00031459        5009R
USC00031492        5240R
USC00031508        5160R
USC00031596        4908R
USC00031632        4733S
USC00031666        5616S
USC00031730        5691R
USC00031750        5468S
USC00031829        5180S
USC00031834        5173S
USC00031900        5572S
USC00031948        5361S
USC00031962        5365S
USC00031968        4883R
USC00031980        5074Q
USC00032015        5415S
USC00032020        5569Q
USC00032148        5094S
USC00032355        5713S
USC00032356        4693R
USC00032366        4996R
USC00032444        4553R
USC00032475        5882R
USC00032540        5577S
USC00032670        5280R
USC00032700        4547Q
USC00032760        5078R
USC00032794        4753R
USC00032842        5867S
USC00032922        5313S
USC00032930        4738S
USC00032946        4518R
USC00032962        4871R
USC00032978        5091R
USC00033019        4891Q
USC00033132        4979R
USC00033164        4796Q
USC00033200        5112Q
USC00033242        5084R
USC00033361        4929Q
USC00033428        5447S
USC00033438        5549S
USC00033442        5419S
USC00033466        5718S
USC00033544        4656R
USC00033704        5437R
USC00033734        4823R
USC00033821        5028S
USC00033862        4857S
USC00033910        4702Q
USC00034010        4777S
USC00034106        4582R
USC00034134        5438R
USC00034185        5266R
USC00034290        5101Q
USC00034528        4990R
USC00034548        5321S
USC00034562        5528R
USC00034572        4749R
USC00034638        5057S
USC00034666        4498R
USC00034746        4741S
USC00034756        5919S
USC00034777        5135Q
USC00034839        5370Q
USC00034936        5734Q
USC00034938        4990R
USC00034988        5725S
USC00035018        5237R
USC00035036        4805S
USC00035046        5073R
USC00035079        5564R
USC00035112        5400S
USC00035160        5041R
USC00035177        5407R
USC00035186        4943S
USC00035200        5417R
USC00035354        5304S
USC00035358        5579S
USC00035498        5514R
USC00035508        4923R
USC00035512        5048R
USC00035563        4956S
USC00035591        5075S
USC00035691        5144S
USC00035754        5286S
USC00035760        5648S
USC00035820        4851R
USC00035831        5069Q
USC00035866        5468R
USC00035900        4688Q
USC00035908        5541S
USC00036008        4656S
USC00036174        5439Q
USC00036253        5186R
USC00036376        5049R
USC00036380        4672R
USC00036393        5437R
USC00036403        4778S
USC00036506        5005S
USC00036562        5304S
USC00036768        5315R
USC00036918        4933S
USC00036920        4944S
USC00036928        4764S
USC00037038        5219R
USC00037383        5860R
USC00037488        5074R
USC00037582        5740S
USC00037653        4974Q
USC00037712        5340R
USC00038010        5105Q
USC00038052        4821R
USC00040010        1791P
USC00040014        1113R
USC00040029        1552R
USC00040136        1677R
USC00040144        2297R
USC00040161        1244R
USC00040192        1343R
USC00040212        4130S
USC00040232        1322R
USC00040235        1183R
USC00040343        2711R
USC00040379        2625S
USC00040383        3715R
USC00040436         448R
USC00040444         803Q
USC00040449        3126R
USC00040521         530S
USC00040673        5048S
USC00040684         714R
USC00040693        2674R
USC00040738        3643R
USC00040741        2010R
USC00040755        3386Q
USC00040779        2404R
USC00040790        4488R
USC00040798        2655R
USC00040819        1255R
USC00040850        3928R
USC00040924         377R
USC00040931        2243R
USC00040943        1179R
USC00040983         613S
USC00041010        1702R
USC00041018        6641Q
USC00041048         278R
USC00041072         940R
USC00041080        7000R
USC00041130        7260Q
USC00041149        6820S
USC00041159        6968R
USC00041214        2842R
USC00041244         640S
USC00041253        2209S
USC00041277        5700R
USC00041288         259S
USC00041312        4087R
USC00041316        2152S
USC00041428        2349S
USC00041484        1777R
USC00041497        3761S
USC00041534        1936Q
USC00041606        3782R
USC00041614        1256S
USC00041680        1760Q
USC00041697        5051R
USC00041700        3435R
USC00041715        2667R
USC00041738         470Q
USC00041758         983R
USC00041806        3142R
USC00041838        4313R
USC00041864         825S
USC00041878        2729R
USC00041907        3058S
USC00041912        4704S
USC00041916        4238S
USC00041948        1784R
USC00041967        1812P
USC00041990        2093S
USC00042012         755S
USC00042081        4246S
USC00042090        1879R
USC00042147        7124R
USC00042198        3347R
USC00042214        1393R
USC00042239        3341S
USC00042294        1960S
USC00042319         236S
USC00042327         567R
USC00042331         683R
USC00042346         751S
USC00042402        6767R
USC00042406        2373R
USC00042410         392Q
USC00042456        4891P
USC00042467        3846R
USC00042494        1432R
USC00042500        6524S
USC00042504        1173S
USC00042506        1569S
USC00042574        6495R
USC00042598         410S
USC00042640        2294R
USC00042671        5243R
USC00042706        1231R
USC00042709        1638R
USC00042713         285S
USC00042728        3232R
USC00042756        2406R
USC00042760        2100R
USC00042771         551S
USC00042805        1244R
USC00042863        1500R
USC00042920        2062S
USC00042934        2481S
USC00042941        1676R
USC00042964        2336Q
USC00043038        3751S
USC00043083         840R
USC00043134        5398R
USC00043157        1812R
USC00043161        4347R
USC00043191        3987Q
USC00043244        1668P
USC00043256        1280Q
USC00043261        1493S
USC00043357        9073S
USC00043369        2011R
USC00043384        5153Q
USC00043392        1757Q
USC00043402        2921R
USC00043417        2054R
USC00043452        2260R
USC00043463        2020S
USC00043489         399R
USC00043491        5533S
USC00043498         588R
USC00043551        4226R
USC00043573        5374S
USC00043578        4228C
USC00043614        2600R
USC00043647        5594R
USC00043669        4052Q
USC00043672        3823R
USC00043710         733S
USC00043714        2900R
USC00043747         896S
USC00043800        3550S
USC00043824        1916R
USC00043855         486S
USC00043875        4395S
USC00043878        4426P
USC00043882        2886Q
USC00043896        1171S
USC00043914        2669S
USC00043939        3770S
USC00044025        1419R
USC00044176        4484R
USC00044211        2618R
USC00044223         290S
USC00044232         548S
USC00044259         344P
USC00044278         494R
USC00044288        5673R
USC00044297         401S
USC00044303        1432Q
USC00044374        1910R
USC00044405         511Q
USC00044412        2292Q
USC00044422        3127S
USC00044484        3894R
USC00044500        4798S
USC00044523        1310R
USC00044534         862Q
USC00044536         719R
USC00044555        1206S
USC00044577        7960R
USC00044628        2333R
USC00044647        1381R
USC00044671        3962R
USC00044705        1591R
USC00044710        1555S
USC00044712        2605S
USC00044713        7682R
USC00044735        1268R
USC00044838        1518R
USC00044863        1316R
USC00044867        2089R
USC00044881        1567R
USC00044890        1468S
USC00044957        1246S
USC00044997        1523S
USC00045026        4548R
USC00045032        1902R
USC00045064        1599S
USC00045107        1699R
USC00045118         995S
USC00045119         891S
USC00045120         886R
USC00045123        2308R
USC00045147        2449R
USC00045218        3628R
USC00045233        1223R
USC00045311        4115R
USC00045352        3295R
USC00045356        2188R
USC00045360        2885S
USC00045378        2023S
USC00045385        2204P
USC00045400        3690R
USC00045449        4922R
USC00045502         315R
USC00045532        1304R
USC00045598        4320R
USC00045679        5756R
USC00045721        1150R
USC00045756         667R
USC00045790        1532R
USC00045795        2110S
USC00045802        1784R
USC00045866        1748R
USC00045890         830R
USC00045892         994Q
USC00045915        2504S
USC00045933        2613S
USC00046006        3598S
USC00046027        3826R
USC00046074        2771S
USC00046136        6239S
USC00046144        1509S
USC00046154         835R
USC00046161        1820P
USC00046162        1744R
USC00046168        1159R
USC00046174        2998R
USC00046175        1062R
USC00046194        1951S
USC00046197         288R
USC00046252        3343Q
USC00046263        1466P
USC00046328        2329Q
USC00046329        2500R
USC00046336        2396R
USC00046370        5699R
USC00046377        1032R
USC00046386         531Q
USC00046390         369R
USC00046399        2126S
USC00046498        6637R
USC00046506        2301S
USC00046508        5342S
USC00046521        3055R
USC00046569        1589R
USC00046572        1533R
USC00046597        5441S
USC00046599        3193R
USC00046602        1963R
USC00046610        1606R
USC00046624         740S
USC00046635         483S
USC00046646        1615R
USC00046650        2696R
USC00046657        3020R
USC00046663        1321R
USC00046675        1077S
USC00046685        5813S
USC00046699         616S
USC00046719        2124S
USC00046726        2542R
USC00046730        1520S
USC00046773         673R
USC00046826        2665S
USC00046896        2076S
USC00046926        1724R
USC00046940        1863R
USC00046943        1689R
USC00046944        1886R
USC00046946        7822S
USC00046960        4001R
USC00047050        1715P
USC00047077        1122R
USC00047085        2325R
USC00047109        4674S
USC00047111        1355R
USC00047150        2134S
USC00047195        4251Q
USC00047228        1539R
USC00047253         726R
USC00047293        2873Q
USC00047298        3701Q
USC00047306        1326S
USC00047339        2032R
USC00047370        2233S
USC00047404        6880R
USC00047414        2493R
USC00047470        1033R
USC00047473        1034S
USC00047581        6359R
USC00047641        3256R
USC00047643        3664R
USC00047668        1545R
USC00047672        2312S
USC00047681        1896S
USC00047689        4889R
USC00047723        1601R
USC00047731        2229S
USC00047741        1234Q
USC00047749        1824R
USC00047767        2068R
USC00047776        2410S
USC00047779        3023R
USC00047785        1790S
USC00047807        3078R
USC00047813        1251R
USC00047821        1582S
USC00047836        1399Q
USC00047846        1046R
USC00047851        2312S
USC00047874        1402R
USC00047880        3523R
USC00047888        1363S
USC00047902        1943R
USC00047916        3135S
USC00047933        3299S
USC00047953        1269R
USC00047957        1738R
USC00047965        3220S
USC00048014        1863S
USC00048025        4295Q
USC00048045        4945S
USC00048135        6582S
USC00048163        6199R
USC00048200         483R
USC00048207        6938R
USC00048273        4177Q
USC00048317        1273R
USC00048351        3143R
USC00048353        3471R
USC00048380        4125R
USC00048406        1877R
USC00048490        7113R
USC00048560        1777R
USC00048580        2308R
USC00048587        2225S
USC00048606        8282S
USC00048655        1111R
USC00048702        1199R
USC00048713        3313Q
USC00048752         636R
USC00048758        3426S
USC00048826        1134R
USC00048829        1343Q
USC00048839        1184R
USC00048873         975R
USC00048904        1654Q
USC00048917        2507R
USC00048928        4988R
USC00048967        2394R
USC00048999        1305Q
USC00049001        1288R
USC00049026        3346S
USC00049035         388S
USC00049043        3124S
USC00049053        1151S
USC00049073        1243S
USC00049087        1431R
USC00049099         446S
USC00049105        4701R
USC00049111        1819R
USC00049122        3993S
USC00049124        5102R
USC00049152        1863S
USC00049185        2669S
USC00049200        2612R
USC00049273        5541Q
USC00049285        1648P
USC00049325         615R
USC00049345         845R
USC00049351        1429S
USC00049367        1093R
USC00049378        1314R
USC00049390        3539S
USC00049431        1549R
USC00049440        4611R
USC00049452         726S
USC00049473        2350S
USC00049490        3886R
USC00049582        3994R
USC00049621        6565S
USC00049660        1403R
USC00049671         668R
USC00049677        3273Q
USC00049684        5068R
USC00049694        5548Q
USC00049699        2353Q
USC00049742        2413S
USC00049781        2134R
USC00049785        1753Q
USC00049792        2961R
USC00049822        2261R
USC00049847        1546Q
USC00049855        3673R
USC00049859        3379Q
USC00049866        1995R
USC00050102        1944R
USC00050105        2143R
USC00050109        1652S
USC00050128         898Q
USC00050214        1792S
USC00050263        1086S
USC00050304        1817R
USC00050306        1847Q
USC00050372        2493R
USC00050454        1773S
USC00050754        2096Q
USC00050776         987R
USC00050797         945R
USC00050825        2975Q
USC00050834        1810R
USC00050839        1292Q
USC00050848        2068S
USC00050895        1547R
USC00050909        2043R
USC00050945        1346R
USC00050950        1473R
USC00051017         853R
USC00051018        1055Q
USC00051060        2162R
USC00051071        1059S
USC00051121        1765R
USC00051179        1569S
USC00051186        2110R
USC00051268        1696S
USC00051294        1347S
USC00051401        1879R
USC00051440        1476R
USC00051443        1415Q
USC00051458         704R
USC00051528        1707S
USC00051539        1322R
USC00051564        1676S
USC00051609        1390R
USC00051660        2398R
USC00051681        2463R
USC00051713        1137S
USC00051741        1560R
USC00051743        1570Q
USC00051772        1137R
USC00051886        1257S
USC00051932        1672R
USC00051939        1547R
USC00051959        2413S
USC00051964        1326S
USC00051996        1779R
USC00052184        1056S
USC00052192         846R
USC00052196         998Q
USC00052213        1718Q
USC00052223        1707Q
USC00052281        1458S
USC00052286        1140R
USC00052326        1881R
USC00052342        1490Q
USC00052441        2100R
USC00052446        1568R
USC00052494        2130S
USC00052631        1974R
USC00052759        1647R
USC00052761        1801Q
USC00052790        1925R
USC00052816        1481Q
USC00052932        1672R
USC00052934        1751Q
USC00052944        1812R
USC00052947        1869R
USC00052965        1688Q
USC00053005        1610S
USC00053006        1497R
USC00053016        1815R
USC00053038        1422R
USC00053063        1882R
USC00053079        1188S
USC00053116        1929R
USC00053146         966R
USC00053246        1212R
USC00053258        1661R
USC00053261        1835R
USC00053307        1430Q
USC00053359        1715R
USC00053387        2277Q
USC00053446        2226Q
USC00053489         925S
USC00053496        1979R
USC00053500        1437S
USC00053530        1580R
USC00053541        1241R
USC00053553        1469S
USC00053592        1446R
USC00053629        2126S
USC00053652        1808Q
USC00053656        1653R
USC00053662        1064R
USC00053738        1986R
USC00053828        1534S
USC00053867        1853C
USC00053951        1414R
USC00054054        1523R
USC00054076        1766R
USC00054082        1860S
USC00054135        1690R
USC00054172        1573R
USC00054242        2009R
USC00054254        1657Q
USC00054293        2234R
USC00054380        1782R
USC00054388        1408R
USC00054413        1815R
USC00054444        1447S
USC00054452        1831S
USC00054538        1684R
USC00054546        1676R
USC00054603        1605R
USC00054606        1751R
USC00054664        1199R
USC00054724        1441R
USC00054726        1529S
USC00054734        1477R
USC00054742        1254S
USC00054762        1732R
USC00054770        1584S
USC00054834        1373S
USC00054934        3030S
USC00054945        1752S
USC00055020        1565Q
USC00055025        1538R
USC00055116        1424R
USC00055236        1576R
USC00055322         834R
USC00055327        1692R
USC00055402        1789Q
USC00055414        2659R
USC00055422        1457R
USC00055427        1755Q
USC00055446        1304R
USC00055484        1745R
USC00055507        1676R
USC00055531        1850S
USC00055706         901R
USC00055722        1019S
USC00055734        2195R
USC00055795        2227Q
USC00055797        3082R
USC00055922        1560R
USC00055934        1678R
USC00055970        1226R
USC00055984        1434R
USC00056012        1644R
USC00056023        1422R
USC00056131        1123R
USC00056136        1255S
USC00056203        2466R
USC00056205        2447Q
USC00056258        2097R
USC00056259        2246Q
USC00056266        1133S
USC00056306        1512S
USC00056318        1575R
USC00056320        1332Q
USC00056323        1883Q
USC00056326        1585R
USC00056524        1723R
USC00056765        1302S
USC00056797        2232R
USC00056816        1842S
USC00056832        1146S
USC00056977        1301R
USC00057017        2496R
USC00057020        1701R
USC00057031        1346R
USC00057050        2039R
USC00057167        1242S
USC00057249        2139Q
USC00057287        1495R
USC00057296        1288R
USC00057309        2444R
USC00057317        2511R
USC00057337         850R
USC00057370         952R
USC00057430        1044R
USC00057450        1802Q
USC00057460        1566S
USC00057510        1794S
USC00057515        1861S
USC00057519        1889Q
USC00057560        1662R
USC00057572        1319R
USC00057582        1637Q
USC00057618        2190R
USC00057656        2649R
USC00057816        1560R
USC00057848        1479R
USC00057866        1685R
USC00057936        2463R
USC00057950        1589R
USC00057992        1721R
USC00058008        1864R
USC00058022        2166R
USC00058064        1643R
USC00058157        1188S
USC00058184        1825S
USC00058204        2330S
USC00058290        1531R
USC00058429        1631R
USC00058436        1797R
USC00058501         994R
USC00058560        1306S
USC00058575        2307R
USC00058582        2698R
USC00058613        1889Q
USC00058690        1712R
USC00058756        1239S
USC00058781        1804S
USC00058793        1916S
USC00058839        1653R
USC00058860         995Q
USC00058931        1455R
USC00058995        1820S
USC00059058        1591Q
USC00059096        1459S
USC00059175        2678R
USC00059181        4568R
USC00059213        1564R
USC00059216        2030R
USC00059243        1832R
USC00059265        1670S
USC00059275        1589R
USC00059278        1701Q
USC00059295        1789R
USC00059297        1776R
USC00060128        5110R
USC00060227        5368R
USC00060299        5082S
USC00060808        4774Q
USC00060961        4771R
USC00060973        5344R
USC00061762        5283R
USC00062169        4510R
USC00062658        4586S
USC00063207        4968S
USC00063420        5116Q
USC00063857        4859R
USC00064488        5208R
USC00064767        5116R
USC00065077        5231R
USC00065445        5312S
USC00065910        5481S
USC00066655        5004R
USC00066966        4849R
USC00067002        5275R
USC00067157        5154R
USC00067373        5185R
USC00067432        5280R
USC00067958        4983Q
USC00067959        4859R
USC00067970        5315R
USC00068065        5106R
USC00068138        4975R
USC00068436        5231R
USC00069162        5853R
USC00069388        5107R
USC00069568        5171R
USC00069775        5165S
USC00071200        4579Q
USC00072730        4605S
USC00073570        4697R
USC00073595        4520R
USC00075320        4684R
USC00076410        4623R
USC00079605        4932S
USC00080228        5224R
USC00080236        5215S
USC00080369        5080S
USC00080390        5165R
USC00080414        4596Q
USC00080478        5208R
USC00080598        5423Q
USC00080611        5173R
USC00080735        5071Q
USC00080737        5998Q
USC00080945        5618S
USC00080992        5078Q
USC00081022        6733Q
USC00081046        5270R
USC00081276        5261S
USC00081306        5710Q
USC00081544        5908S
USC00081641        5063R
USC00081651        5186Q
USC00081654        4868R
USC00081795        4140R
USC00081800        6710Q
USC00081978        4876R
USC00082008        5798R
USC00082046        4693Q
USC00082150        5180Q
USC00082220        6371R
USC00082229        5804S
USC00082288        4994S
USC00082298        5494R
USC00082391        5623Q
USC00082418        3642R
USC00082441        4201R
USC00082850        5538R
USC00082915        4942R
USC00082944        4881S
USC00083020        4565R
USC00083026        5435Q
USC00083163        6652S
USC00083168        6349Q
USC00083207        5384S
USC00083322        5107R
USC00083470        5116R
USC00083874        5353S
USC00083909        7038R
USC00083956        5280S
USC00083986        5284R
USC00084050        6435Q
USC00084095        5952R
USC00084210        4982R
USC00084289        5179S
USC00084320        4901Q
USC00084366        4998S
USC00084394        5146S
USC00084412        5456Q
USC00084461        6502Q
USC00084625        5200R
USC00084662        5294Q
USC00084707        5231R
USC00084731        5262S
USC00084802        5479R
USC00085076        4967S
USC00085099        5152R
USC00085184        6139R
USC00085275        5253S
USC00085359        5469Q
USC00085539        5421S
USC00085667        6413R
USC00085793        6887R
USC00085879        5680R
USC00085895        4695S
USC00085973        4957S
USC00086065        5957S
USC00086078        5564R
USC00086129        6298Q
USC00086240        7097R
USC00086315        6487Q
USC00086406        5823S
USC00086414        5080S
USC00086485        4738R
USC00086618        5405R
USC00086657        5545Q
USC00086764        6132Q
USC00086767        5271Q
USC00086828        6127Q
USC00086842        6108S
USC00086880        5411S
USC00087020        6260R
USC00087025        5587S
USC00087205        5356S
USC00087228        5273Q
USC00087261        4976Q
USC00087304        5952Q
USC00087397        5065S
USC00087429        5973R
USC00087760        5497S
USC00087826        4901S
USC00087851        5417C
USC00087869        5715Q
USC00087982        5304R
USC00088076        5482Q
USC00088368        5550Q
USC00088529        5225Q
USC00088565        6032R
USC00088620        6372R
USC00088756        5806Q
USC00088780        5372R
USC00088824        5262S
USC00088841        4595R
USC00088942        5399S
USC00089120        5883S
USC00089176        5048S
USC00089219        5686R
USC00089401        5120R
USC00089511        6168Q
USC00089566        6174S
USC00089707        5112R
USC00089795        5374Q
USC00090010        4462S
USC00090044        5094R
USC00090140        5142S
USC00090181        5139Q
USC00090219        5304R
USC00090253        4901R
USC00090406        4947R
USC00090441        5349R
USC00090444        5152S
USC00090586        5309R
USC00090603        5411R
USC00090670        4874Q
USC00090746        5499R
USC00090969        5597S
USC00090979        5105R
USC00091132        4578R
USC00091266        4611R
USC00091340        4962S
USC00091372        5038S
USC00091425        4616R
USC00091448        4496R
USC00091463        4986R
USC00091474        5265R
USC00091500        5207S
USC00091585        5425R
USC00091619        5085R
USC00091640        5139S
USC00091657        5433R
USC00091665        4205R
USC00091670        5088S
USC00091732        5138R
USC00091863        5354S
USC00091906        4499R
USC00091908        5381Q
USC00091965        6029R
USC00091973        4620R
USC00091982        6897R
USC00092006        6210S
